Date,Latitude,Longitude,Altitude,NO2,PM2.5,O3,PM10,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),is_day (),PM2.5/N02,PM2.5/03,Weekend,Season_Autumn,Season_Spring,Season_Summer,Season_Winter
2023-08-28 09:35:00+00:00,46.234818,15.267305,240.0,2.290219586822997,1.6094379124341003,55.0,2.70805020110221,23.2,58.0,14.134470774265814,16.467725756868226,0.0,0.0,0.0,6.883360122147415,5.0,11.8,27.0,13.977557057839446,-1.374365790254617,1.0,-0.6807816743888963,-2.3978952727983707,0,False,False,True,False
2023-08-28 10:35:00+00:00,46.234818,15.267305,240.0,2.302585092994046,1.6094379124341003,60.0,2.70805020110221,24.1,59.0,15.098401742538282,17.76843600868258,0.0,0.0,0.0,6.882437470997847,40.0,11.4,35.0,14.51641209043356,-1.3783261914707137,1.0,-0.6931471805599453,-2.4849066497880004,0,False,False,True,False
2023-08-28 11:35:00+00:00,46.234818,15.267305,240.0,2.1972245773362196,1.6094379124341003,67.0,2.5649493574615367,25.2,59.0,16.15783331764964,18.871010527248846,0.0,0.0,0.0,6.881616621372443,85.0,10.9,44.0,14.953402824920115,-1.3823023398503531,1.0,-0.587786664902119,-2.5952547069568657,0,False,False,True,False
2023-08-28 12:35:00+00:00,46.234818,15.267305,240.0,2.302585092994046,1.791759469228055,70.0,2.6390573296152584,24.6,62.0,16.35036133519788,17.76843600868258,0.0,0.0,0.0,6.881205943748601,100.0,11.9,76.0,15.001748396506603,-1.3783261914707137,1.0,-0.5108256237659907,-2.456735772821304,0,False,False,True,False
2023-08-28 13:35:00+00:00,46.234818,15.267305,240.0,2.0794415416798357,1.791759469228055,76.0,2.70805020110221,25.5,58.0,16.25410092964138,18.443520930726052,0.0,0.0,0.0,6.880589610909367,100.0,10.5,94.0,14.905015988040622,-1.3823023398503531,1.0,-0.2876820724517809,-2.538973871058276,0,False,False,True,False
2023-08-28 14:35:00+00:00,46.234818,15.267305,240.0,2.1972245773362196,1.9459101490553132,79.0,2.9444389791664403,26.3,57.0,16.542860690627577,18.931950030456374,0.0,0.0,0.0,6.879561544611355,94.0,10.8,88.0,14.953402824920115,-1.3823023398503531,1.0,-0.25131442828090605,-2.423537703411708,0,False,False,True,False
2023-08-28 15:35:00+00:00,46.234818,15.267305,240.0,2.4849066497880004,2.0794415416798357,79.0,2.9444389791664403,26.1,59.0,17.120189975519637,18.565825219569266,0.0,0.0,0.0,6.8786353804082845,59.0,15.8,73.0,15.098316512145143,-1.3862943611198906,1.0,-0.40546510810816444,-2.2900063107871858,0,False,False,True,False
2023-08-28 16:35:00+00:00,46.234818,15.267305,240.0,2.3978952727983707,2.1972245773362196,82.0,2.995732273553991,23.6,71.0,17.601108878962588,18.01439965847675,1.5,1.5,0.0,6.878429449600309,67.0,6.0,343.0,14.856587691729153,-1.324258970200438,1.0,-0.2006706954621511,-2.209494669928034,0,False,False,True,False
2023-08-28 17:35:00+00:00,46.234818,15.267305,240.0,2.1972245773362196,2.302585092994046,85.0,2.995732273553991,20.9,89.0,18.5624505809428,16.77889498055465,3.0,3.0,0.0,6.878841268817495,100.0,4.7,148.0,14.1250508153075,-1.1907275775759154,1.0,0.10536051565782635,-2.1400661634962708,0,False,False,True,False
2023-08-28 18:35:00+00:00,46.234818,15.267305,240.0,2.3978952727983707,2.302585092994046,82.0,3.091042453358316,19.9,96.0,18.658549366573308,15.71695554431421,6.7,6.7,0.0,6.8786353804082845,100.0,9.9,314.0,13.582221492032174,-0.9288695140810151,0.0,-0.0953101798043249,-2.1041341542702074,0,False,False,True,False
2023-08-28 19:35:00+00:00,46.234818,15.267305,240.0,2.302585092994046,2.302585092994046,82.0,3.1780538303479458,18.7,98.0,17.793429488279514,14.706733680344092,7.3,7.3,0.0,6.878841268817495,100.0,10.3,295.0,13.083768963017853,-0.8232558659069656,0.0,0.0,-2.1041341542702074,0,False,False,True,False
2023-08-28 20:35:00+00:00,46.234818,15.267305,240.0,2.302585092994046,2.302585092994046,78.0,3.091042453358316,19.0,96.0,17.793429488279514,15.150045311116578,3.7,3.7,0.0,6.8790471148453936,100.0,6.8,3.0,12.832683495838838,-0.8509712657535126,0.0,0.0,-2.0541237336955462,0,False,False,True,False
2023-08-28 21:35:00+00:00,46.234818,15.267305,240.0,2.0794415416798357,2.3978952727983707,75.0,3.1354942159291497,18.9,97.0,17.793429488279514,15.21320308104629,0.6,0.6,0.0,6.878532420305234,60.0,5.4,53.0,12.681417363008777,-0.8698843590599994,0.0,0.3184537311185346,-1.91959284073794,0,False,False,True,False
